Anzahl Adapationen;Titel;Autor
18;A Christmas Carol;Charles Dickens
15;Alice in Wonderland (Alice's Adventures in Wonderland, #1);Lewis Carroll
13;Oliver Twist;Charles Dickens
12;Frankenstein;Mary Shelley
12;Dracula;Bram Stoker
8;The Works of H. Rider Haggard;Haggard, Henry Rider
7;Pinocchio;Carlo Collodi
6;The Four Feathers;A. E. W. Mason
6;Tarzan of the Apes (Edgar Rice Burroughs) (Literary Thoughts Edition);Edgar Rice Burroughs
6;Great Expectations;Charles Dickens
5;Treasure Island: By Robert Louis Stevenson (Illustrated And Unabridged);Robert Louis Stevenson
5;The Jungle Book;Rudyard Kipling
5;The Adventures of Tom Sawyer;Mark Twain
5;Carmen;Prosper Mérimée
5;The Three Musketeers;Alexandre Dumas, père
5;Devdas;Chattopadhyay, Sharat Chandra
5;The Count of Monte Cristo;Alexandre Dumas, père
4;Jane Eyre;Brontë, Charlotte
4;She (She, #1);Haggard, Henry Rider
4;The Lady of the Camellias;Alexandre Dumas
4;Crime and Punishment;Fyodor Dostoyevsky
4;The Art of The Hobbit by J.R.R. Tolkien;J. R. R. Tolkien
4;The Prince and the Pauper;Mark Twain
4;The Virginian: A Horseman of the Plains;Owen Wister
4;A Doll's House;Henrik Ibsen
4;The Tell-Tale Heart and Other Writings;Edgar Allan Poe
3;The Last of the Mohicans (The Leatherstocking Tales #2);James Fenimore Cooper
3;The Godfather;Mario Puzo
3;The Maltese Falcon;Dashiell Hammett
3;Robinson Crusoe;Daniel Defoe
3;The Courage of Black Beauty (Anna Sewell's the Adventures of Black Beauty, 3);Anna Sewell
3;The Wonderful Wizard of Oz (Oz, #1);Baum, Lyman Frank
3;Atlas Shrugged;Ayn Rand
3;Beau Sabreur;Percival Christopher Wren
3;The Pit and the Pendulum;Edgar Allan Poe
3;Les Liaisons dangereuses;Choderlos De Laclos, Pierre
3;I Am Legend: Richard Matheson (English Edition);Matheson, Richard
3;The Trail Of The Lonesome Pine;John Fox, Jr.
3;Edgar Allan Poe - The Raven (Illustrated) & Fall Of the House of Usher (Edgar Allan Poe Poems & Short Stories);Edgar Allan Poe
3;The Prisoner of Zenda;Hope, Anthony
3;Tess of the d' Urbevilles: A Pure Woman Faithfully Presented;Thomas Hardy
3;Jack's Return Home;Lewis, Ted
3;Wuthering Heights;Brontë, Emily Jane
3;The Phantom of the Opera;Gaston Leroux
3;The Hunchback of Notre-Dame;Victor Hugo
3;The Picture of Dorian Gray;Oscar Wilde
3;The Little Mermaid;Hans Christian Andersen
