Jahresdifferenz;Durchschnittliche Bewertungsdifferenz
-94;0.68
-84;-0.122
-82;-0.044
-81;-0.038
-79;-0.031
-77;0.71
-75;-0.09
-74;0.69
-70;0.63
-69;-0.084
-62;-0.3
-58;0.62
-56;-0.038
-53;-0.1
-51;-0.1
-44;-0.14
-43;0.166
-41;-0.03
-37;-0.28
-31;-0.002
-30;-0.04
-27;-0.064
-12;-0.27
-11;-0.189
-10;0.014
-9;0.59
-8;-0.47
-7;-0.4
-6;-0.176
-5;0.71
-4;-0.09
-1;0.055
0;-0.06
1;-0.077
2;-0.083
3;-0.079
4;-0.087
5;-0.072
6;-0.074
7;-0.109
8;-0.066
9;-0.075
10;-0.096
11;-0.061
12;-0.087
13;-0.084
14;-0.1
15;-0.12
16;-0.066
17;-0.145
18;-0.147
19;-0.104
20;-0.1
21;-0.122
22;-0.062
23;-0.111
24;-0.04
25;-0.151
26;-0.031
27;-0.038
28;-0.14
29;-0.127
30;-0.172
31;-0.108
32;-0.108
33;-0.285
34;-0.072
35;-0.11
36;-0.09
37;-0.053
38;-0.076
39;-0.142
40;-0.151
41;-0.137
42;-0.099
43;-0.127
44;-0.116
45;-0.113
46;-0.323
47;-0.03
48;-0.135
49;-0.089
50;-0.129
51;-0.281
52;-0.128
53;-0.107
54;-0.17
55;-0.111
56;-0.07
57;-0.165
58;-0.141
59;-0.121
60;-0.133
61;-0.152
62;-0.059
63;-0.088
64;-0.143
65;-0.065
66;-0.171
67;-0.22
68;-0.142
69;-0.248
71;-0.138
72;-0.053
73;-0.102
74;-0.246
75;-0.133
76;0.022
77;-0.095
78;-0.08
79;-0.033
80;-0.432
81;-0.103
82;-0.077
84;-0.083
85;-0.16
86;-0.146
87;-0.126
88;-0.114
89;-0.091
90;-0.07
91;-0.142
92;-0.081
95;-0.087
96;-0.107
97;-0.078
98;-0.144
100;-0.234
101;-0.068
102;-0.131
103;-0.239
104;-0.09
105;-0.196
106;-0.242
107;-0.198
109;-0.07
110;-0.123
111;-0.242
113;-0.045
114;-0.15
115;-0.128
116;-0.112
117;-0.091
119;-0.201
120;-0.148
121;-0.028
122;-0.103
123;-0.149
124;-0.158
126;-0.074
127;-0.082
128;-0.03
129;-0.125
130;-0.178
132;-0.2
133;-0.068
135;-0.142
136;-0.12
137;-0.066
138;0.064
139;-0.028
141;-0.07
143;-0.102
144;-0.173
145;-0.152
146;-0.205
148;-0.136
149;-0.143
150;-0.096
151;-0.126
153;-0.042
154;-0.21
155;-0.196
156;0.052
157;-0.113
158;-0.132
159;-0.337
161;-0.132
163;-0.25
164;-0.115
165;-0.123
166;-0.08
167;-0.127
170;-0.092
174;-0.178
177;-0.056
179;-0.01
180;-0.116
181;-0.116
192;-0.068
195;-0.468
197;-0.148
214;-0.066
215;-0.178
216;-0.05
217;-0.124
221;-0.104
230;-0.224
238;-0.068
245;-0.06
269;-0.1
